Time,Dynamic,LUT as Logic,Signals,LUT as Logic + Signals
4460000.0,16863.031,3331.425,4457.0,7788.425
4470000.0,22778.344,4662.86,6318.95,10981.81
4480000.0,20099.844,3229.895,4678.4,7908.295
4490000.0,22803.406,4500.625,6213.7,10714.325
4500000.0,19333.391,2791.62,4349.2,7140.82
4510000.0,23611.734,4688.18,6699.0,11387.18
4520000.0,20722.688,3454.72,5095.7,8550.42
4530000.0,23673.859,4780.28,6764.95,11545.23
4540000.0,18095.578,3854.885,5391.25,9246.135
4550000.0,7287.219,822.42,1148.05,1970.4699999999998
4560000.0,8306.672,785.69,899.2,1684.89
4570000.0,10180.25,574.235,737.15,1311.385
4580000.0,17283.531,3227.805,4294.95,7522.754999999999
4590000.0,17478.062,3232.885,4265.5,7498.385
4600000.0,15168.516,2374.48,3026.25,5400.73
4610000.0,18092.094,3422.115,4688.05,8110.165
4620000.0,14281.797,1959.46,2552.25,4511.71
4630000.0,18138.312,3507.07,4649.3,8156.370000000001
4640000.0,15886.344,2673.565,3444.95,6118.514999999999
4650000.0,14999.031,3926.73,4903.75,8830.48
4660000.0,6891.391,819.7,1001.0,1820.7
4670000.0,7124.062,337.465,353.35,690.815
4680000.0,10901.016,1710.625,2144.8,3855.425
4690000.0,15026.75,3393.495,4534.85,7928.345
4700000.0,14421.359,3072.445,4051.55,7123.995000000001
4710000.0,14082.953,2840.155,3959.05,6799.205
4720000.0,11647.641,1916.86,2586.95,4503.8099999999995
4730000.0,15069.766,3316.86,4465.15,7782.01
4740000.0,15991.844,3314.06,4435.75,7749.8099999999995
4750000.0,18165.906,3833.03,4819.0,8652.03
4760000.0,23671.75,5768.055,8081.3,13849.355
4770000.0,21236.344,4756.57,6592.75,11349.32
4780000.0,20968.25,4779.795,6493.9,11273.695
4790000.0,18290.422,3651.93,4758.35,8410.28
4800000.0,18812.656,3675.915,5409.0,9084.915
4810000.0,18903.766,3934.905,5065.1,9000.005000000001
4820000.0,15355.438,3018.585,4118.85,7137.435
4830000.0,13196.781,2536.945,3276.55,5813.495000000001
4840000.0,14521.719,3877.89,5172.25,9050.14
4850000.0,6464.922,650.81,769.25,1420.06
4860000.0,9090.406,602.265,726.05,1328.315
